track_name,artist(s)_name,artist_count,in_spotify_playlists,streams,in_deezer_playlists,bpm,key,danceability_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,gender
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,8506,1356565093,164,128,D,62,78,1,3,23,4,Trap Latino
Here With Me,d4vd,1,3246,635412045,68,132,E,58,48,50,0,12,3,Pop Alternativo
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,8576,1230675890,331,131,D,71,47,1,0,27,9,Pop
Corazón Vacío,Maria Becerra,1,370,43857627,18,98,C#,68,79,33,0,30,6,Pop Latino
Riptide,Vance Joy,1,31123,2009094673,"1,003",102,C#,48,73,43,0,15,4,Indie Folk
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2790,600976848,71,101,A#,34,57,78,0,20,3,Pop Indie
Novidade na área,"Mc Livinho, DJ Matt D",2,267,39709092,25,130,F,63,34,76,0,35,9,Funk Brasileiro
Back To December (Taylor's Version),Taylor Swift,1,139,39228929,5,142,D,50,64,1,0,12,3,Country Pop
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,17050,2665343922,798,170,C#,59,76,4,0,10,5,Pop
Someone You Loved,Lewis Capaldi,1,17836,2887241814,"1,8",110,C#,50,41,75,0,11,3,Pop
Makeba,Jain,1,6060,165484133,"2,703",116,D,82,66,39,51,25,7,Pop
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,641,58054811,8,129,A,63,82,70,8,9,7,Funk Brasileiro
Fast Car,Luke Combs,1,1446,157058870,35,98,G#,71,60,19,0,12,3,Country
Coco Chanel,"Bad Bunny, Eladio Carrion",2,1962,250305248,29,150,D,68,76,4,0,10,4,Trap Latino
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2175,144565150,69,143,D#,83,44,15,0,10,33,Hip-Hop/Rap
Snooze,SZA,1,2839,399686758,42,143,F,56,55,14,0,11,13,R&B
